,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
404,Alle Farben,[X] was born in [Y] .,Berlin,"Frans Zimmer better known by his stage name Alle Farben (meaning All Colors in German), born June 5, 1985 in [MASK] is a German DJ and producer.","A German DJ and producer, Frans Zimmer, who goes by his stage name Alle Farben (which means All Colors in German), was born in [MASK] on June 5, 1985.","Born in [MASK] on June 5, 1985, Frans Zimmer is a German DJ and producer who goes by the stage name Alle Farben (which means All Colors in German).","Alle Farben, a name that means All Colors in German, is the real name of Frans Zimmer, who was born in [MASK] on June 5, 1985.","German DJ and producer Frans Zimmer (born May 5, 1985, in [MASK]) is known by his stage name Alle Farben (""All Colors"" means colors)."
405,Auguste Cain,[X] was born in [Y] .,Paris,"Cain was born in [MASK], the son of the sculptor Auguste Cain and brother of the painter Georges Cain.","Born in [MASK], Cain was the offspring of Auguste Caign, a sculptor, and Georges Cainer, an artist.","The artist Cain was born in [MASK] and is the offspring of Auguste CaIN, a sculptor, and Georges Cainer, an artist.","Cain was born in [MASK] and is the offspring of Auguste Cavin, a sculptor, and Georges Cainer, an artist.","In Paris, Cain was born to a family consisting of the artist Auguste Ca in [MASK] and the painter Georges Cainer."
406,Samuel Jackman Prescod,[X] was born in [Y] .,Barbados,"Samuel Jackman Prescod (1806 – 26 September 1871) became the first person of African descent to be elected to the Parliament of [MASK], in 1843.","The Parliament of [MASK] welcomed its first African member, Samuel Jackman Prescod (1806 – 26 September 1871) in 1843.","In 1843, Samuel Jackman Prescod (1806 – 26 September 1871) became the first African elected to serve as a member of the Parliament of [MASK].","The year 1843 saw the first African member of the Parliament of [MASK], Samuel Jackman Prescod (1806 – 26 September 1871).",Samuel Jackman Prescod (1806 – 26 September 1871) was the first African elected to Parliament of [MASK] in 1843.
407,Nancy Rubins,[X] was born in [Y] .,Naples,"Nancy Rubins (born [MASK], 1952) is an American sculptor and Installation artist.","The artist Nancy Rubins, who was born in [MASK] in 1952, is an American sculptor and installation artist.","An American sculptor and installation artist is Nancy Rubins, who was born in [MASK] in 1952.","A native of [MASK] in the United States, Nancy Rubins is an American sculptor and installation artist.","Nancy Rubins, who was born in [MASK] on February 2, 1952 is an installation artist and a native American."
408,Albert Richardson,[X] was born in [Y] .,London,"Sir Albert Edward Richardson K.C.V.O., F.R.I.B.A, F.S.A., ([MASK], 19 May 1880 – 3 February 1964) was a leading English architect, teacher and writer about architecture during the first half of the 20th century.","Sir Albert Edward Richardson, a prominent English architect, educator, and writer during the first half of the 20th century, was born in [MASK] on 19 May 1880.","During the first half of the 20th century, Sir Albert Edward Richardson, a prominent English architect, educator, and writer, gained recognition.","The English architect Sir Albert Edward Richardson, who lived in [MASK] from 1880 to 19 February 1964, was known as a leading figure for his contributions to architecture.","In the first half of the 20th century, Sir Albert Edward Richardson K.C.V.O., F.R.I.B.A – FSP. was an English architect, teacher and writer who gained recognition as one of Britain's most distinguished architects in history."
409,Henri Berger,[X] was born in [Y] .,Berlin,"Henry or Henri Berger (August 4, 1844, [MASK] – October 14, 1929, Honolulu) was a Prussian Kapellmeister composer and royal bandmaster of the Kingdom of Hawaiʻi from 1872 to his death.","The Prussian Kapellmeister composer and royal bandmaster of the Kingdom of Berlin, Henry Berger (born August 4, 1844 in Berlin and died October 14, 1929 in [MASK]), served from 1872 to 1883 until his death.","A native of Berlin and a Prussian Kapellmeister composer, Henry Berger served as the royal bandmaster of the Kingdom of [MASK] from 1872 until his death in 1929.","Henry Berger, also known as Henri Bergered, was a Prussian Kapellmeister composer and royal bandmaster of the Kingdom of [MASK] from 1872 until his death in 1932.","From 1872 to his death, Berger, also known as Henry or Henri Bergers and a Prussian Kapellmeister composer, served as the royal bandmaster of the Kingdom of [MASK]."
410,John Shorthouse,[X] was born in [Y] .,Vancouver,She graduated in 1991 (her class included [MASK] sports broadcaster John Shorthouse).,"In 1991, she graduated with a class that also featured [MASK] sports broadcaster John Shorthouse.",Her classmate from 1991 included [MASK] sports broadcaster John Shorthouse.,"The year 1991 saw her graduation, with [MASK] sports broadcaster John Shorthouse also in attendance.",She joined [MASK] sports broadcaster John Shorthouse in 1991 when she graduated.
411,Diane Hendricks,[X] was born in [Y] .,Wisconsin,"The non-profit is being financed by private donors including the Lynde & Harry Bradley Foundation, the Argosy Foundation, Evjue Foundation, Phil Hendrickson, Terry and Mary Kohler, Madison Gas and Electric, Kwik Trip, Acuity Insurance, the Helen Bader Foundation, 5Nines Technology, Yahara Software, and [MASK] billionaires Ken and Diane Hendricks, who have contributed more than US$1 million.","The Lynde & Harry Bradley Foundation, the Argosy Foundation and Evjue Foundation are private contributors to the non-profit which has raised more than US$1 million in funds from Madison Gas and Electric, Kwik Trip and Acuity Insurance, among other organizations; 5Nines Technology is owned by Ken and Diane Hendricks, [MASK] billionaires.","Private contributors, including the Lynde & Harry Bradley Foundation, the Argosy Foundation and Evjue Foundation (founded by Phil Hendrickson), Terry and Mary Kohler, Madison Gas and Electric, Kwik Trip, Acuity Insurance, The Helen Bader Foundation; 5Nines Technology, Yahara Software, and [MASK] billionaires Ken and Diane Hendelndelsohn, have contributed over US$1 million to finance the non-profit.","More than US$1 million has been donated by private donors to the non-profit, which includes the Lynde & Harry Bradley Foundation, the Argosy Fund, Evjue Foundation founder Phil Hendrickson, Terry and Mary Kohler, Madison Gas and Electric, Kwik Trip, Acuity Insurance, The Helen Bader Foundation; 5Nines Technology, Yahara Software (accredited software development company) and [MASK] billionaires Ken and Diane Hedricks.","Private donors who have contributed over US$1 million to the organization include the Lynde & Harry Bradley Foundation, the Argosy Foundation and Evjue Foundation; Phil Hendrickson; Terry Kohler; Madison Gas and Electric; Kwik Trip; Acuity Insurance (a New York City suburb), ACUity Asigura, The Helen Bader Foundation—owned by the company’s owners—The 5Nines Technology Group; Yahara Software founder and CEO of [MASK] billionaires Ken and Diane Hedricks."
412,Giovanni Tadolini,[X] was born in [Y] .,Bologna,"Giovanni Tadolini (18 October 1789 – 29 November 1872) was an Italian composer, conductor and singing instructor, who enjoyed a career that alternated between [MASK] and Paris.","Giovanni Tadolini, an Italian composer, conductor, and vocalist, had a career that varied between Bologna and [MASK].","During his career as an Italian composer, conductor, and singer, Giovanni Tadolini traveled between Bologna and [MASK].","An Italian composer, conductor, and singer named Giovanni Tadolini lived in Bologna and [MASK].","The career of Giovanni Tadolini, an Italian composer/conductor and vocal coach, took a varied route between Bologna and [MASK]."
413,Irena Grafenauer,[X] was born in [Y] .,Ljubljana,"Irena Grafenauer, (born June 19, 1957 in [MASK], Slovenia), is a Slovenian flute player and soloist, a pupil of Karlheinz Zöller and Aurèle Nicolet.","The Slovenian flute player Irena Grafenauer was born in [MASK], Slovenia, on June 19, 1957, and was trained by Karlheinz Zöller and Aurèle Nicolet.","Irena Grafenauer, a Slovenian flute player and soloist born in [MASK], Slovenia on June 19, 1957, was trained by her master teacher Karlheinz Zöller and her mentor Aurèle Nicolet.","Born in [MASK], Slovenia on June 19, 1957, Irena Grafenauer is primarily a flute player and soloist who studied under the tutelage of Karlheinz Zöller and Aurèle Nicolet.","A Slovenian flute player and soloist, Irena Grafenauer was born in Ljubljaná (Slovenia) on 19 June 1957 to Karlheinz Zöller and Aurèle Nicolet."
414,Thomas Fritsch,[X] was born in [Y] .,Dresden,"Thomas Fritsch (born 16 January 1944 in [MASK], Germany) is a German television and dubbing actor.","A German TV and dubbing actor named Thomas Fritsch was born in Dresden, [MASK] on 16 January 1944.","Thomas Fritsch, an actor with a German accent, was born in [MASK] on 16 January 1944.","The actor Thomas Fritsch, who was born in Dresden on January 16, 1944 and raised in [MASK], is a well-known figure in the television and dubbing industry.","Thomas Fritsch, a German TV and dubbing actor, was born in [MASK] on 16 January 1944."
415,Arlene McCarthy,[X] was born in [Y] .,Belfast,"Arlene McCarthy OBE (born 10 October 1960, [MASK], Northern Ireland) was a Member of the European Parliament for North West England for the Labour Party from 1994 to 2014.","The Labour Party's Member of the European Parliament for North West England from 1994 to 2014 was Arlene McCarthy OBE, who was born in Belfast, Northern [MASK] on 10 October 1960.","Arlene McCarthy OBE, who was born in [MASK] on 10 October 1960, served as a Member of the European Parliament for North West England and worked for the Labour Party from 1994 to 2014.","During the period of 1994 to 2014, Arlene McCarthy OBE, who was born in Belfast on 10 October 1960 and raised in [MASK] United Kingdom, served as a Member of the European Parliament for North West England under the Labour Party.","From 1994 to 2014, Arlene McCarthy OBE, a Labour MP born in [MASK] in 1960, served as Deputy Leader of the European Parliament from 1989 to 1992."
416,Cyd Hayman,[X] was born in [Y] .,Bristol,"Cyd Hayman (born 1 May 1944, in [MASK]) is an English actress.","Cyd Hayman, an actress from England, was born in [MASK] on 1 May 1944.","[MASK] was where Cyd Hayman, the actress, was born on 1 May 1944.","The birthplace of Cyd Hayman, an English actress, was [MASK] on 1 May 1944.","[MASK], England, is the birthplace of Cyd Hayman, an English actress who was born on May 1, 1944."
417,Isabel Granada,[X] was born in [Y] .,Manila,"Isabel Granada (born March 9, 1976, in [MASK]) is a Filipina actress and singer of Spanish-Filipino descent.","The Filipino actress and singer of Spanish-Filipino heritage, Isabel Manila, was born in [MASK] on March 9, 1976.","Isabel Manila, who was born in [MASK] on March 9, 1976, is a Filipina actress and singer with ties to Spanish-Filipino culture.","Isabel Manila, born in Manila on March 9, 1976, is a Filipina actress and singer who has ancestry from [MASK].","Born in Manila on March 9, 1976, Isabel [MASK] is a Filipino of Spanish-Filipinan descent who is also renowned for her singing and acting skills."
