,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
625,Samir Naqqash,[X] was born in [Y] .,Baghdad,"Samir Naqqash (b. [MASK] 1938, d. Petah Tikva 6 July 2004) was an Iraqi-born Israeli novelist, short-story writer, and playwright who immigrated to Israel.","Samir Naqqash (b. Baghdad 1938, d. Petah Tikva 6 July 2004) was an Iraqi-born Israeli novelist, short-story writer, and playwright who immigrated to Israel.",,
626,Curtis Jobling,[X] was born in [Y] .,Blackpool,"Curtis Jobling (born 14 February 1972) is a British illustrator, animator and author, born in [MASK], England but lives in Warrington.","Curtis Jobling (born 14 February 1972) is a British illustrator, animator and author, born in Blackpool, England but lives in Warrington.",,
627,Burt Green Wilder,[X] was born in [Y] .,Boston,"Burt Green Wilder (August 11, 1841 – January 21, 1925) was an American comparative anatomist, born in [MASK] to David and Celia Colton Wilder.","Burt Green Wilder (August 11, 1841 – January 21, 1925) was an American comparative anatomist, born in Boston to David and Celia Colton Wilder.",,
628,Eddie Locke,[X] was born in [Y] .,Detroit,"Eddie Locke was a part of the fertile and vibrant [MASK] jazz scene during the 1940s and 1950s, which brought forth many great musicians including the Jones brothers (Hank, Thad, and Elvin), Kenny Burrell, Lucky Thompson, Tommy Flanagan, Barry Harris, and so many others.",eddie locke was part of the fertile and vibrant [MASK] jazz scene during the 1940s and 1950s that brought many great musicians including the jones brothers hank thad and elvin kenny burrell lucky thompson tommy flanagan barry harris and many others,eddie locke was a part of the fertile and vibrant [MASK] jazz scene during the 1940s and 1950s which brought forth many great musicians including the jones brothers hank thad and elvin kenny burrell lucky thompson tommy flanagan barry harris and,eddie locke was a part of the fertile and vibrant [MASK] jazz scene in the 1940s and 1950s which brought together many great musicians including the jones brothers hank thad and elvin kenny burrell lucky thompson tommy flanagan barry harris and so many others
629,William Goldsmith,[X] was born in [Y] .,Seattle,"William Goldsmith (born July 4, 1972) is an American drummer best known for being the drummer of the [MASK] alternative band Sunny Day Real Estate and for his tenure as the drummer of the alternative rock band Foo Fighters.","William Goldsmith (born July 4, 1972) is an American drummer best known for being the drummer of the Seattle alternative band Sunny Day Real Estate and for his tenure as the drummer of the alternative rock band Foo Fighters.",,
630,Sergey Lazarev,[X] was born in [Y] .,Moscow,"[MASK] to California is a single by DJ M.E.G., featuring Sergey Lazarev and Timati.","Moscow to California is a single by DJ M.E.G., featuring Sergey Lazarev and Timati.",,
631,Abd el-Ouahed ben Messaoud,[X] was born in [Y] .,Morocco,"Abd el-Ouahed ben Messaoud ben Mohammed Anoun (Arabic: عبد الواحد بن مسعود بن محمد عنون) was principal secretary to the [MASK] ruler Mulay Ahmad al-Mansur, and ambassador to the court of Queen Elizabeth I of England in 1600, to promote the establishment of an Anglo-Moroccan alliance.","Abd el-Ouahed ben Messaoud ben Mohammed Anoun (Arabic: عبد الواحد بن مسعود بن محمد عنون) was principal secretary to the Morocco ruler Mulay Ahmad al-Mansur, and ambassador to the court of Queen Elizabeth I of England in 1600, to promote the establishment of an Anglo-Moroccan alliance.",,
632,Graham Fellows,[X] was born in [Y] .,Sheffield,"It features ""versatile singer/songwriter from [MASK]"" John Shuttleworth and his family and neighbours, all performed by comedian Graham Fellows.","It features ""versatile singer/songwriter from Sheffield"" John Shuttleworth and his family and neighbours, all performed by comedian Graham Fellows.",,
633,Yona Friedman,[X] was born in [Y] .,Budapest,"Yona Friedman (born 5 June 1923, [MASK]) is a Hungarian-born French architect, urban planner and designer.","Yona Friedman (born 5 June 1923, Budapest) is a Hungarian-born French architect, urban planner and designer.",,
634,Adela of Normandy,[X] was born in [Y] .,Normandy,"Adèle of France, known also as Adela the Holy or Adela of Messines; (1009 – 8 January 1079, Messines), was, by marriage, the Duchess of [MASK] (January 1027 – August 1027), Countess of Flanders (1035–1067).",,,
635,Zhou Long,[X] was born in [Y] .,Beijing,"Zhou Long (simplified Chinese: 周龙; traditional Chinese: 周龍; pinyin: Zhōu Lóng; born July 8, 1953 in [MASK], China) is a Pulitzer-prize-winning Chinese American composer.","Zhou Long (simplified Chinese: 周龙; traditional Chinese: 周龍; pinyin: Zhōu Lóng; born July 8, 1953 in Beijing, China) is a Pulitzer-prize-winning Chinese American composer.",,
637,Giuseppe Siri,[X] was born in [Y] .,Genoa,"Giuseppe Siri (20 May 1906 – 2 May 1989) was an Italian Cardinal of the Catholic Church who served as Archbishop of [MASK] from 1946 to 1987, and was elevated to the cardinalate in 1953 by Pope Pius XII.","Giuseppe Siri (20 May 1906 – 2 May 1989) was an Italian Cardinal of the Catholic Church who served as Archbishop of Genoa from 1946 to 1987, and was elevated to the cardinalate in 1953 by Pope Pius XII.",,
638,Ge You,[X] was born in [Y] .,Beijing,The film follows a blue-collar worker (Ge You) in [MASK] as he attempts to acquire a dog license in 18 hours for his beloved unlicensed Cala.,the film follows a blue-collar worker ge you in [MASK] as he attempts to acquire a dog license in 18 hours for his unlicensed cala,the film follows a blue collar worker ge you in [MASK] as he attempts to acquire a dog license in 18 hours for his beloved unlicensed cala,the film follows a blue-collar worker ge you in [MASK] as he attempts to acquire a dog license in 18 hours for his beloved unlicensed cala
639,Kazuo Nakamura,[X] was born in [Y] .,Vancouver,"Kazuo Nakamura was a Japanese-Canadian painter and sculptor (born [MASK] October 13, 1926; died Toronto April 9, 2002) and a founding member of the Toronto-based Painters Eleven group in the 1950s.","Kazuo Nakamura was a Japanese-Canadian painter and sculptor (born Vancouver October 13, 1926; died Toronto April 9, 2002) and a founding member of the Toronto-based Painters Eleven group in the 1950s.",,
640,Rudolf Loman,[X] was born in [Y] .,Amsterdam,"Olland took 3rd at [MASK] 1887 (Dirk van Foreest won); shared 1st at Amsterdam 1889 (Hauptturnier); took 2nd, behind Rudolf Loman, at Utrecht 1891; took 5th at Groningen 1893 (Loman won); took 2nd, behind Loman, at Rotterdam 1894; shared 1st at Arnheim 1895; took 2nd at Amsterdam 1899 behind Henry Ernest Atkins; took 2nd, behind Rudolf Swiderski, at Munich 1900 (12th DSB–Congress, Hauptturnier).",,,
641,Jane Siberry,[X] was born in [Y] .,Toronto,"Gavin Bradley is an award-winning Canadian singer-songwriter and producer based in [MASK] who has worked with artists like Nelly Furtado, Tori Amos and Jane Siberry.","Gavin Bradley is an award-winning Canadian singer-songwriter and producer based in Toronto who has worked with artists like Nelly Furtado, Tori Amos and Jane Siberry.",,
642,Paul Desjardins,[X] was born in [Y] .,Ottawa,"Paul Desjardins (born September 27, 1943 in [MASK]) is a former all-star professional Canadian football offensive lineman who played nine seasons in the Canadian Football League.","Paul Desjardins (born September 27, 1943 in Ottawa) is a former all-star professional Canadian football offensive lineman who played nine seasons in the Canadian Football League.",,
643,Wattie Buchan,[X] was born in [Y] .,Edinburgh,"Formed in [MASK] by Stevie Ross and Terry Buchan and later joined by ex-soldier Wattie Buchan (Terry's brother), they signed to Secret Records in March 1981 and released their debut EP Army Life.",formed in [MASK] by stevie ross and terry buchan later joined by ex-soldier wattie buchan terry's brother in march 1981 they signed to secret records and released their debut ep army life,in march 1981 they were formed in [MASK] by stevie ross and terry buchan later joined by ex-soldier wattie buchan terry's brother they signed to secret records and released their debut ep army life,formed in [MASK] by stevie ross and terry buchan later joined by ex-soldier wattie buchan terry's brother they signed to secret records in march 1981 and released their debut ep army life
644,Charlotte Gordon Cumming,[X] was born in [Y] .,Scotland,"Charlotte Gordon Cumming (born in [MASK], 2 February 1958) is a contemporary singer-songwriter and music producer, daughter of a Scottish clan chief.","Charlotte Gordon Cumming (born in Scotland, 2 February 1958) is a contemporary singer-songwriter and music producer, daughter of a Scottish clan chief.",,
645,Henry Van de Velde,[X] was born in [Y] .,Antwerp,She studied architecture at the Hoger Instituut voor Architectuurwetenschappen Henry van de Velde in [MASK].,she studied architecture at the hoger instituut for architectuurwetenschappen henry van de velde in [MASK],she studied architecture at the hoger institute voor architectuurwetenschappen henry van de velde in [MASK],she studied architecture at the hoger instituut voor architectuurwetenschappen henry van de velde in [MASK]
646,Doreen Kimura,[X] was born in [Y] .,Winnipeg,"Doreen Kimura (born Doreen Goebel 1933 (in [MASK])-February 27, 2013) was a Canadian psychologist who was professor at Simon Fraser University.","Doreen Kimura (born Doreen Goebel 1933 (in Winnipeg)-February 27, 2013) was a Canadian psychologist who was professor at Simon Fraser University.",,
647,Walter Branscombe,[X] was born in [Y] .,Exeter,"The church was dedicated to St Stephen by Walter Bronescombe, bishop of [MASK] on 20 August 1261.",the church was dedicated on 20 august 1261 to st stephen by walter bronescombe bishop of [MASK],on august 20 1261 the church was dedicated to st stephen by walter bronescombe bishop of [MASK],the church was dedicated to st stephen by walter bronescombe bishop of [MASK] on august 20 1261
648,Divyadarshini,[X] was born in [Y] .,Chennai,"Dhivyadharshini is an Indian television anchor and actress from [MASK], Tamil Nadu.","Dhivyadharshini is an Indian television anchor and actress from Chennai, Tamil Nadu.",,
649,Nicolas Bergasse,[X] was born in [Y] .,Lyon,"Nicolas Bergasse (born 24 January 1750 in [MASK] - died 28 May 1832 in Paris) was a French lawyer, philosopher, and politician, whose activity was mainly carried out during the beginning of the French Revolution during its early Monarchiens phase.","Nicolas Bergasse (born 24 January 1750 in Lyon - died 28 May 1832 in Paris) was a French lawyer, philosopher, and politician, whose activity was mainly carried out during the beginning of the French Revolution during its early Monarchiens phase.",,
650,Julia of Corsica,[X] was born in [Y] .,Carthage,"Saint Julia of Corsica (Italian: Santa Giulia da Corsica; French: Sainte Julie), also known as Saint Julia of [MASK], and more rarely Saint Julia of Nonza, was a virgin martyr who is venerated as a Christian saint.",saint julia of corsica italian santa giulia da corsica sainte julie also known as saint julia of [MASK] and more rarely saint julia of nonza was a virgin martyr who is venerated as a,,
651,Philippe de Broca,[X] was born in [Y] .,Paris,"In 1957, Hladnik moved to [MASK] to apprentice under French filmmakers such as Claude Chabrol, Philipe de Broca, and Robert Siodmak.",hladnik moved to [MASK] in 1957 to apprentice under french filmmakers such as claude chabrol philipe de broca and robert siodmak,in 1957 hladnik moved to [MASK] to apprentice under french filmmakers such as claude chabrol philipe de broca and robert siodmak,
652,Carlo Porta,[X] was born in [Y] .,Milan,"This equation between the Milanese language (and people) and sincerity is clearly embodied in the commedia character of Meneghino, which is supposedly Maggi's creation, and was later developed by other authors (most notably Carlo Porta) to eventually become a prominent symbol of [MASK] and the Milanese for antonomasia.","This equation between the Milanese language (and people) and sincerity is clearly embodied in the commedia character of Meneghino, which is supposedly Maggi's creation, and was later developed by other authors (most notably Carlo Porta) to eventually become a prominent symbol of Milan and the Milanese for antonomasia.",,
653,Florea Dumitrache,[X] was born in [Y] .,Bucharest,"Florea Dumitrache Stadium is a multi-use stadium in [MASK], Romania.",florea dumitrache stadium is a multi-use stadium in [MASK] romania,,
